Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Declaration of Rights,The Abyssinians,"The Best of Studio One, Vol. 1",1969,199746,4,0.671,0.335,3,-17.021,0,0.0853,0.9,0.925,0.11,0.737,142.041,20
Forward Unto Zion,The Abyssinians,Satta Massagana,1969,226026,4,0.675,0.452,2,-13.87,1,0.107,0.422,0.00328,0.126,0.778,137.177,12
Jah Loves - Remastered 2002,The Abyssinians,Arise,1969,246160,4,0.678,0.469,9,-10.352,1,0.0451,0.201,0.00272,0.0666,0.851,154.858,27
Satta Massagana,The Abyssinians,Satta Massagana,1969,209426,4,0.501,0.407,9,-13.142,0,0.305,0.252,0.000342,0.128,0.722,77.152,35
Ark Of Covenant,The Congos,Heart Of The Congos,1977,226400,4,0.615,0.506,4,-14.359,0,0.096,0.251,0.0000816,0.248,0.768,81.935,24
Can't Come In,The Congos,Heart Of The Congos,1977,346973,4,0.71,0.401,1,-17.128,1,0.0662,0.287,0.000178,0.0666,0.662,141.64,22
Children Crying,The Congos,Heart Of The Congos,1977,234893,4,0.576,0.45,8,-15.42,1,0.0357,0.124,0.00000115,0.104,0.938,140.192,27
Congoman,The Congos,Heart Of The Congos,1977,335426,4,0.646,0.597,10,-15.045,0,0.0414,0.282,0.758,0.0766,0.83,100.382,30
Fisherman,The Congos,Heart Of The Congos,1977,328240,4,0.604,0.458,4,-15.055,0,0.161,0.432,0.00446,0.0804,0.636,174.248,44
La La Bam-Bam,The Congos,Heart Of The Congos,1977,227480,4,0.851,0.603,6,-8.436,1,0.049,8.39E-05,0,0.115,0.89,125.243,30
Row Fisherman,The Congos,The Great Heptones Harmonizes Best of the Best,1977,359906,4,0.545,0.575,10,-12.801,0,0.0914,0.0943,0.182,0.454,0.498,164.955,21
Sodom And Gomorrow,The Congos,Heart Of The Congos (40th Anniversary Edition),1977,371080,4,0.753,0.749,0,-7.307,1,0.0405,0.021,0.00178,0.276,0.881,123.198,12
Come On Now,The Ethiopians,Engine 54,1970,195560,4,0.809,0.367,0,-11.838,1,0.0876,0.622,0.0125,0.465,0.601,79.32,29
Engine 54,The Ethiopians,Engine 54,1970,159946,4,0.847,0.373,10,-10.905,1,0.118,0.35,0.00183,0.277,0.601,77.487,44
Everything Crash,The Ethiopians,Dis One A Scorcher! Absolutely The Best Of Roots and Culture Vol. 1,1970,157333,4,0.927,0.547,0,-6.786,1,0.0604,0.314,0.0128,0.0517,0.921,117.418,34
Good Ambition,The Ethiopians,Riding the Roots Chariot,1970,166600,4,0.916,0.393,0,-8.862,1,0.0494,0.438,0.0107,0.11,0.939,109.633,46
Hong Kong Flu,The Ethiopians,Reggae Power,1970,138746,4,0.937,0.662,2,-8.98,1,0.168,0.553,0.0353,0.0382,0.874,129.395,22
The Selah,The Ethiopians,Freedom Train,1970,189213,4,0.754,0.494,3,-6.495,1,0.0554,0.608,0.0207,0.096,0.798,94.864,12
Train to Skaville,The Ethiopians,Engine 54,1970,177000,4,0.792,0.256,8,-12.525,1,0.191,0.229,0.548,0.35,0.563,87.774,48
What A Fire,The Ethiopians,Woman Capture Man,1970,163500,4,0.862,0.504,7,-9.093,1,0.0719,0.628,0.0702,0.245,0.913,104.345,22
Book Of Rules,The Heptones,Night Food,1970,211466,4,0.779,0.533,6,-14.152,1,0.0535,0.272,0.159,0.13,0.944,142.495,50
Equal Rights,The Heptones,On Top,1970,142000,4,0.808,0.63,9,-6.707,1,0.0461,0.449,0.251,0.149,0.96,77.165,6
Gunmen Coming to Town,The Heptones,Trojan Mod Reggae Collection,1970,151093,4,0.705,0.44,10,-9.25,1,0.0329,0.97,0.158,0.215,0.925,115.186,16
Love Won't Come Easy,The Heptones,Sea Of Love,1970,211960,4,0.626,0.216,11,-15.701,0,0.102,0.364,0.0000294,0.136,0.558,143.656,12
Our Day Will Come,The Heptones,Meet The Now Generation,1970,200040,4,0.721,0.601,7,-10.293,1,0.095,0.364,0.204,0.0558,0.803,146.638,13
Party Time,The Heptones,"The Best of Studio One, Vol. 1",1970,160493,4,0.799,0.453,7,-9.58,0,0.0418,0.839,0.615,0.218,0.906,81.372,21
Pretty Looks,The Heptones,The Heptones Live in London,1970,214681,4,0.741,0.442,2,-8.208,1,0.0361,0.465,0.00000353,0.0938,0.829,81.986,14
We Are In The Mood,The Heptones,On Top,1970,131506,4,0.748,0.499,9,-7.716,0,0.0418,0.529,0.00074,0.236,0.824,82.174,3
Why Must I,The Heptones,Fattie Fattie,1970,172533,4,0.701,0.286,7,-16.413,1,0.165,0.154,0.189,0.302,0.437,90.109,3
1865 (96º In The Shade),Third World,96 Degrees In The Shade,1976,267826,4,0.918,0.393,7,-16.088,1,0.15,0.0314,0.000153,0.0269,0.803,131.84,54
Cool Meditation,Third World,Journey To Addis,1976,214760,4,0.737,0.622,11,-15.145,0,0.0881,0.0135,0.000427,0.311,0.967,140.15,30
Loving You Is Easy,Third World,More Work to Be Done,1976,211895,4,0.9,0.667,8,-7.381,1,0.057,0.377,0.000873,0.264,0.752,144.367,43
Now That We've Found Love,Third World,Reggae Roots 1972-1995 (Vol.5),1976,224173,4,0.765,0.585,1,-13.037,1,0.1,0.00706,0.0000017,0.0503,0.781,118.441,37
Reggae Ambassador,Third World,Reggae Ambassadors: 20th Anniversary Collection,1976,190640,4,0.81,0.402,5,-13.881,1,0.283,0.0485,0,0.0513,0.894,78.651,45
Sense Of Purpose,Third World,Reggae Ambassadors: 20th Anniversary Collection,1976,318106,4,0.864,0.634,0,-11.131,0,0.039,0.0314,0.0000616,0.0496,0.937,124.873,28
Try Jah Love,Third World,Reggae Ambassadors: 20th Anniversary Collection,1976,409933,4,0.761,0.581,1,-13.548,0,0.0386,0.0952,0,0.14,0.891,111.808,40
You're Not the Only One,Third World,More Work to Be Done,1976,242831,4,0.751,0.599,9,-6.543,0,0.308,0.155,0,0.0557,0.611,169.786,49
Chalice In The Palace - 1990 Digital Remaster,U-Roy,Dread In A Babylon,1974,209000,4,0.664,0.426,0,-12.234,1,0.184,0.0354,0.0368,0.067,0.523,78.731,30
Man Next Door (feat. Santigold),U-Roy,Solid Gold,2010,271618,4,0.599,0.895,9,-4.598,0,0.102,0.0052,0,0.495,0.7,141.512,28
Rule The Nation,U-Roy,Original DJ,1974,149733,4,0.733,0.462,1,-11.38,1,0.366,0.00666,0.384,0.21,0.419,78.603,11
Trenchtown Rock (feat. Ziggy Marley),U-Roy,Solid Gold,1974,269929,4,0.459,0.834,0,-3.468,1,0.229,0.0623,0.00000122,0.69,0.759,80.232,28
Wake The Town,U-Roy,Solid Gold,1974,242401,4,0.722,0.829,5,-3.178,1,0.0429,0.0864,0.15,0.208,0.786,104.776,15
Wear You To The Ball,U-Roy,Original DJ,1974,147226,4,0.879,0.502,0,-6.803,1,0.0485,0.348,0.0142,0.0866,0.695,95.162,16
(I Can't Help) Falling In Love With You,UB40,Promises And Lies,1983,207440,4,0.642,0.722,2,-13.031,1,0.0375,0.0444,0.00388,0.122,0.836,172.406,70
Cherry Oh Baby,UB40,Labour Of Love,1983,198626,4,0.79,0.259,7,-16.079,1,0.0676,0.00416,0.00813,0.0941,0.816,75.554,55
Food For Thought,UB40,UB45,1983,239960,4,0.772,0.725,2,-6.217,1,0.0338,0.00691,0.00345,0.3,0.883,132.046,55
Kingston Town,UB40,Labour Of Love II,1983,228293,4,0.956,0.254,8,-13.264,1,0.0551,0.156,0.0362,0.0362,0.8,102.071,53
Many Rivers To Cross,UB40,Labour Of Love,1983,273000,4,0.593,0.56,1,-12.834,1,0.0376,0.0875,0.132,0.0742,0.541,88.001,47
One In Ten,UB40,The Very Best Of,1983,273133,4,0.853,0.767,9,-6.787,0,0.0439,0.0397,0.0000174,0.0849,0.875,126.698,46
Rat In Mi Kitchen,UB40,Rat In The Kitchen,1983,418466,4,0.729,0.545,9,-12.264,1,0.0633,0.0241,0.119,0.0609,0.826,90.911,50
Red Red Wine,UB40,The Very Best Of,1983,183733,4,0.857,0.468,1,-8.53,1,0.0476,0.00414,0.0000132,0.269,0.843,89.119,73
King Inna The Jungle,Yellowman,Bad Boy Skanking,1985,242866,4,0.827,0.354,10,-14.223,1,0.264,0.0106,0,0.114,0.771,73.117,11
Lost Mi Love,Yellowman,Mister Yellowman,1985,310733,4,0.83,0.669,10,-7.536,0,0.214,0.0511,0,0.163,0.92,74.003,48
Mr Chin,Yellowman,Mister Yellowman,1985,242266,4,0.864,0.764,2,-6.784,1,0.147,0.0418,0.000111,0.346,0.77,75.625,33
No Way to Run,Yellowman,Nobody Move,1985,210128,4,0.699,0.475,10,-14.179,0,0.0945,0.587,0.0107,0.237,0.736,92.815,0
Nobody Move Nobody Get Hurt,Yellowman,Nobody Move Nobody Get Hurt,1985,223106,4,0.699,0.775,0,-5.936,1,0.123,0.33,0,0.121,0.58,82.058,45
Them A Mad Over Me,Yellowman,One In A Million,1985,218466,4,0.787,0.244,1,-18.146,1,0.256,0.278,0,0.132,0.892,82.689,5
Zungguzungguguzungguzeng,Yellowman,Zungguzungguguzungguzeng!,1985,388226,4,0.749,0.296,4,-17.927,1,0.356,0.0713,0.00458,0.0879,0.475,164.707,53
Beach In Hawaii,Ziggy Marley,Love Is My Religion,1997,224413,4,0.81,0.476,9,-8.933,0,0.0372,0.206,0.00000916,0.0837,0.88,98.981,57
"Get Up, Stand Up - Live",Ziggy Marley,Bob Marley 75th Celebration (Pt.1) [Live],1997,431982,4,0.81,0.629,6,-7.357,0,0.238,0.204,0.00000651,0.244,0.668,81.132,22
Justice,Ziggy Marley,One Bright Day,1997,252160,4,0.834,0.362,10,-12.738,1,0.0722,0.0395,0.000474,0.0701,0.922,79.919,24
Look Who's Dancing,Ziggy Marley,One Bright Day,1997,300373,4,0.764,0.758,10,-11.306,1,0.0442,0.12,0.00303,0.123,0.945,104.052,42
Love Is My Religion,Ziggy Marley,Love Is My Religion,1997,228506,4,0.826,0.717,9,-6.212,1,0.0481,0.202,0,0.394,0.78,93.505,48
Tomorrow People,Ziggy Marley,Conscious Party,1997,218440,4,0.714,0.561,10,-12.986,1,0.0421,0.221,0,0.116,0.647,96.12,50
True To Myself,Ziggy Marley,Dragonfly,1997,225600,4,0.88,0.564,1,-6.431,1,0.0498,0.0786,0,0.0565,0.83,99.019,62
We Are One,Ziggy Marley,Spirit of Music,1997,221533,4,0.798,0.332,11,-13.22,0,0.0361,0.448,0.0000291,0.11,0.74,127.296,12
